"Modified","CVE-2003-5001","CWE-269" "NVD-CWE-noinfo",,,,,"psirt@us.ibm.com" "nvd@nist.gov",5.3 9.8,"MEDIUM" "CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N" "CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:ibm:iss_blackice_pc_protection:-:*:*:*:*:*:*:*"
"Modified","CVE-2021-45756","CWE-120",,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:o:asus:rt-ac68u_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:asus:rt-ac68u:-:*:*:*:*:*:*:*" "cpe:2.3:o:asus:rt-ac5300_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:asus:rt-ac5300:-:*:*:*:*:*:*:*"
"Modified","CVE-2021-45757","CWE-120",,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",7.8,HIGH,"AV:N/AC:L/Au:N/C:N/I:N/A:C","cpe:2.3:o:asus:rt-ac68u_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:asus:rt-ac68u:-:*:*:*:*:*:*:*"
"Modified","CVE-2021-45786","CWE-287",,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:maccms:maccms:10.0:*:*:*:*:*:*:*"
"Modified","CVE-2021-45787","CWE-79",,,,,"nvd@nist.gov",5.4,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N",,,,,"nvd@nist.gov",3.5,LOW,"AV:N/AC:M/Au:S/C:N/I:P/A:N","cpe:2.3:a:maccms:maccms:10.0:-:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.03.15:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.03.21:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.04.02:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.05.01:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.05.02.1005:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.05.03.0000:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.05.04.1320:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.05.07.1213:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.05.08.2020:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.05.09.1320:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.05.11.2300:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.05.15.1403:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.05.17.1050:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.05.22.1338:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.05.30.1007:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.06.04.1510:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.06.08.1339:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.06.12.1430:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.06.15.0910:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.06.29.1425:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.07.29.1010:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.08.14.0955:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.08.24.1355:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.08.25.1120:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.09.03.0920:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.09.14.0850:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.09.28.0950:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.10.09.1333:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.10.13.1025:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.10.22.1200:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.10.31.1340:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.11.18.0920:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.12.05.0950:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2018.12.13.2151:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2019.00.00.1001:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2019.00.00.1002:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2019.00.00.1003:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2019.00.00.1004:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2019.00.00.1005:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2019.00.00.1006:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2019.00.00.1007:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2019.00.00.1008:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2019.01.19.1001:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2019.0101.1001:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2019.02.23.0850:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2019.03.06.1617:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2019.1000.1009:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2019.1000.1010:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2019.1000.1011:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2019.1000.1012:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2019.1000.1013:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2019.1000.1014:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2019.1000.1015:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2019.1000.1016:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2019.1000.1017:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2019.1000.1018:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2020.1000.1019:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2020.1000.1020:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2020.1000.1021:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2020.1000.1022:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2020.1000.1023:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2020.1000.1024:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2020.1000.1025:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2020.1000.1027:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2020.1000.1029:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2020.1000.1031:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2020.1000.1032:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2020.1000.1033:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2020.1000.1034:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2020.1000.1035:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2020.1000.1039:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2020.1000.1042:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2020.1000.1051:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2020.1000.1060:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2020.1000.1062:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2020.1000.1068:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2020.1000.1068b:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2020.1000.1069:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2020.1000.1074:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2020.1000.1075:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2020.1000.1080:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2020.1000.1081:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2021.1000.1081:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2022.1000.1099:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2022.1000.3001:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2022.1000.3002:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2022.1000.3004:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2022.1000.3005:*:*:*:*:*:*" "cpe:2.3:a:maccms:maccms:10.0:2022.1000.3025:*:*:*:*:*:*"
"Modified","CVE-2021-45791","CWE-89",,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",6.5,MEDIUM,"AV:N/AC:L/Au:S/C:P/I:P/A:P","cpe:2.3:a:slims:senayan_library_management_system:8.3.1:*:*:*:*:*:*:*"
"Modified","CVE-2021-45792","CWE-79",,,,,"nvd@nist.gov",4.8,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:L/I:L/A:N",,,,,"nvd@nist.gov",3.5,LOW,"AV:N/AC:M/Au:S/C:N/I:P/A:N","cpe:2.3:a:slims:senayan_library_management_system:9.4.2:*:*:*:*:*:*:*"
"Modified","CVE-2021-45793","CWE-89",,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N",,,,,"nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:P/I:N/A:N","cpe:2.3:a:slims:senayan_library_management_system:9.4.2:*:*:*:*:*:*:*"
"Modified","CVE-2021-45794","CWE-89",,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N",,,,,"nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:P/I:N/A:N","cpe:2.3:a:slims:senayan_library_management_system:9.4.2:*:*:*:*:*:*:*"
"Modified","CVE-2021-45809","NVD-CWE-noinfo",,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",10,CRITICAL,"AV:N/AC:L/Au:N/C:C/I:C/A:C","cpe:2.3:a:globalprotect-openconnect_project:globalprotect-openconnect:*:*:*:*:*:*:*:*"
"Modified","CVE-2021-45810","NVD-CWE-noinfo",,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N",,,,,"nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:N/I:P/A:N","cpe:2.3:a:globalprotect-openconnect_project:globalprotect-openconnect:-:*:*:*:*:*:*:*"
"Modified","CVE-2021-45819","CWE-428",,,,,"cve@mitre.org" "nvd@nist.gov",6.4 7.8,"MEDIUM" "HIGH","CVSS:3.1/AV:L/AC:H/PR:H/UI:N/S:U/C:H/I:H/A:H" "CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",7.2,HIGH,"AV:L/AC:L/Au:N/C:C/I:C/A:C","cpe:2.3:a:wordline:hidccemonitorsvc:*:*:*:*:*:*:*:*"
"Modified","CVE-2021-45821","CWE-89",,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",6.5,MEDIUM,"AV:N/AC:L/Au:S/C:P/I:P/A:P","cpe:2.3:a:btiteam:xbtit:3.1:*:*:*:*:*:*:*"
"Modified","CVE-2021-45822","CWE-79",,,,,"nvd@nist.gov",6.1,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:P/A:N","cpe:2.3:a:btiteam:xbtit:3.1:*:*:*:*:*:*:*"
"Modified","CVE-2021-45834","CWE-434",,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:opendocman:opendocman:1.4.4:-:*:*:*:*:*:*"
"Modified","CVE-2021-45835","CWE-434",,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:online_admission_system_project:online_admissions_system:1.0:*:*:*:*:*:*:*"
"Modified","CVE-2021-45848","CWE-116",,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:N/I:N/A:P","cpe:2.3:a:nicotine-plus:nicotine\\+:*:*:*:*:*:*:*:*" "cpe:2.3:o:fedoraproject:fedora:34:*:*:*:*:*:*:*"
"Modified","CVE-2021-45851","CWE-918",,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N",,,,,"nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:P/I:N/A:N","cpe:2.3:a:frangoteam:fuxa:1.1.3:*:*:*:*:*:*:*"
"Modified","CVE-2021-45852","CWE-670",,,,,"nvd@nist.gov",5.3,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N",,,,,"nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:N/I:P/A:N","cpe:2.3:a:projectworlds:hospital_management_system_in_php:1.0:*:*:*:*:*:*:*"
"Modified","CVE-2021-45860","CWE-190",,,,,"nvd@nist.gov",5.5,"MEDIUM","CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:N/A:P","cpe:2.3:a:tsmuxer_project:tsmuxer:*:*:*:*:*:*:*:*"
"Modified","CVE-2021-45861","CWE-617",,,,,"nvd@nist.gov",5.5,"MEDIUM","CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:N/A:P","cpe:2.3:a:tsmuxer_project:tsmuxer:*:*:*:*:*:*:*:*"
"Modified","CVE-2021-45863","CWE-787",,,,,"nvd@nist.gov",5.5,"MEDIUM","CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:N/A:P","cpe:2.3:a:tsmuxer_project:tsmuxer:*:*:*:*:*:*:*:*"
"Modified","CVE-2021-45864","CWE-125",,,,,"nvd@nist.gov",5.5,"MEDIUM","CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:N/A:P","cpe:2.3:a:tsmuxer_project:tsmuxer:*:*:*:*:*:*:*:*"
"Modified","CVE-2021-45865","CWE-434",,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:student_attendance_management_system_project:student_attendance_management_system:1.0:*:*:*:*:*:*:*"
"Modified","CVE-2021-45866","CWE-79",,,,,"nvd@nist.gov",5.4,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N",,,,,"nvd@nist.gov",3.5,LOW,"AV:N/AC:M/Au:S/C:N/I:P/A:N","cpe:2.3:a:student_attendance_management_system_project:student_attendance_management_system:1.0:*:*:*:*:*:*:*"
"Modified","CVE-2021-45868","CWE-416",,,,,"nvd@nist.gov",5.5,"MEDIUM","CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H",,,,,"nvd@nist.gov",4.3,MEDIUM,"AV:N/AC:M/Au:N/C:N/I:N/A:P","cpe:2.3:o:linux:linux_kernel:*:*:*:*:*:*:*:*" "cpe:2.3:o:netapp:h300s_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:netapp:h300s:-:*:*:*:*:*:*:*" "cpe:2.3:o:netapp:h700s_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:netapp:h700s:-:*:*:*:*:*:*:*" "cpe:2.3:o:netapp:h300e_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:netapp:h300e:-:*:*:*:*:*:*:*" "cpe:2.3:o:netapp:h500e_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:netapp:h500e:-:*:*:*:*:*:*:*" "cpe:2.3:o:netapp:h700e_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:netapp:h700e:-:*:*:*:*:*:*:*" "cpe:2.3:o:netapp:h410s_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:netapp:h410s:-:*:*:*:*:*:*:*" "cpe:2.3:o:netapp:h410c_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:netapp:h410c:-:*:*:*:*:*:*:*" "cpe:2.3:o:netapp:h500s_firmware:-:*:*:*:*:*:*:*" "cpe:2.3:h:netapp:h500s:-:*:*:*:*:*:*:*"
"Modified","CVE-2021-45876","CWE-77",,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:o:garo:wallbox_gtb_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:garo:wallbox_gtb:-:*:*:*:*:*:*:*" "cpe:2.3:o:garo:wallbox_gtc_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:garo:wallbox_gtc:-:*:*:*:*:*:*:*" "cpe:2.3:o:garo:wallbox_glb_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:garo:wallbox_glb:-:*:*:*:*:*:*:*"
"Modified","CVE-2021-45877","CWE-798",,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:o:garo:wallbox_gtb_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:garo:wallbox_gtb:-:*:*:*:*:*:*:*" "cpe:2.3:o:garo:wallbox_gtc_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:garo:wallbox_gtc:-:*:*:*:*:*:*:*" "cpe:2.3:o:garo:wallbox_glb_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:garo:wallbox_glb:-:*:*:*:*:*:*:*"
"Modified","CVE-2021-45878","CWE-306",,,,,"nvd@nist.gov",9.1,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N",,,,,"nvd@nist.gov",6.4,MEDIUM,"AV:N/AC:L/Au:N/C:P/I:P/A:N","cpe:2.3:o:garo:wallbox_gtb_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:garo:wallbox_gtb:-:*:*:*:*:*:*:*" "cpe:2.3:o:garo:wallbox_gtc_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:garo:wallbox_gtc:-:*:*:*:*:*:*:*" "cpe:2.3:o:garo:wallbox_glb_firmware:*:*:*:*:*:*:*:*" "cpe:2.3:h:garo:wallbox_glb:-:*:*:*:*:*:*:*"
"Modified","CVE-2021-45886","CWE-352",,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",6.8,MEDIUM,"AV:N/AC:M/Au:N/C:P/I:P/A:P","cpe:2.3:a:ponton:x\\/p_messenger:3.8.0:*:*:*:*:*:*:*" "cpe:2.3:a:ponton:x\\/p_messenger:3.10.0:*:*:*:*:*:*:*"
"Modified","CVE-2021-45887","CWE-22",,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:ponton:x\\/p_messenger:3.8.0:*:*:*:*:*:*:*" "cpe:2.3:a:ponton:x\\/p_messenger:3.10.0:*:*:*:*:*:*:*"
"Modified","CVE-2021-45888","CWE-79",,,,,"nvd@nist.gov",4.8,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:L/I:L/A:N",,,,,"nvd@nist.gov",3.5,LOW,"AV:N/AC:M/Au:S/C:N/I:P/A:N","cpe:2.3:a:ponton:x\\/p_messenger:3.8.0:*:*:*:*:*:*:*" "cpe:2.3:a:ponton:x\\/p_messenger:3.10.0:*:*:*:*:*:*:*"
"Modified","CVE-2021-45889","CWE-79",,,,,"nvd@nist.gov",5.4,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N",,,,,"nvd@nist.gov",3.5,LOW,"AV:N/AC:M/Au:S/C:N/I:P/A:N","cpe:2.3:a:ponton:x\\/p_messenger:3.8.0:*:*:*:*:*:*:*" "cpe:2.3:a:ponton:x\\/p_messenger:3.10.0:*:*:*:*:*:*:*"
"Modified","CVE-2021-45900","CWE-287",,,,,"nvd@nist.gov",6.5,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N",,,,,"nvd@nist.gov",4,LOW,"AV:N/AC:L/Au:S/C:N/I:P/A:N","cpe:2.3:a:vivoh:webinar_manager:*:*:*:*:*:*:*:*"
"Modified","CVE-2021-45966","CWE-78",,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",10,CRITICAL,"AV:N/AC:L/Au:N/C:C/I:C/A:C","cpe:2.3:a:pascom:cloud_phone_system:*:*:*:*:*:*:*:*"
"Modified","CVE-2021-45967","CWE-22",,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",7.5,HIGH,"AV:N/AC:L/Au:N/C:P/I:P/A:P","cpe:2.3:a:pascom:cloud_phone_system:*:*:*:*:*:*:*:*" "cpe:2.3:a:igniterealtime:openfire:*:*:*:*:*:*:*:*" "cpe:2.3:a:igniterealtime:openfire:4.5.0:-:*:*:*:*:*:*"
"Modified","CVE-2021-45968","CWE-918",,,,,"nvd@nist.gov",7.5,"HIGH","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N",,,,,"nvd@nist.gov",5,MEDIUM,"AV:N/AC:L/Au:N/C:P/I:N/A:N","cpe:2.3:a:jivesoftware:jive:-:*:*:*:*:*:*:*" "cpe:2.3:a:pascom:cloud_phone_system:*:*:*:*:*:*:*:*"
"Modified","CVE-2021-46006","CWE-306",,,,,"nvd@nist.gov",6.5,"MEDIUM","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N",,,,,"nvd@nist.gov",4,LOW,"AV:N/AC:L/Au:S/C:N/I:P/A:N","cpe:2.3:o:totolink:a3100r_firmware:5.9c.4577:*:*:*:*:*:*:*" "cpe:2.3:h:totolink:a3100r:-:*:*:*:*:*:*:*"
"Modified","CVE-2021-46007","CWE-78",,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",10,CRITICAL,"AV:N/AC:L/Au:N/C:C/I:C/A:C","cpe:2.3:o:totolink:ar3100r_firmware:5.9c.4577:*:*:*:*:*:*:*" "cpe:2.3:h:totolink:ar3100r:-:*:*:*:*:*:*:*"
"Modified","CVE-2021-46008","CWE-798",,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",7.9,HIGH,"AV:A/AC:M/Au:N/C:C/I:C/A:C","cpe:2.3:o:totolink:a3100r_firmware:5.9c.4577:*:*:*:*:*:*:*" "cpe:2.3:h:totolink:a3100r:-:*:*:*:*:*:*:*"
"Modified","CVE-2021-46009","CWE-306",,,,,"nvd@nist.gov",9.8,"CRITICAL","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",10,CRITICAL,"AV:N/AC:L/Au:N/C:C/I:C/A:C","cpe:2.3:o:totolink:a3100r_firmware:5.9c.4577:*:*:*:*:*:*:*" "cpe:2.3:h:totolink:a3100r:-:*:*:*:*:*:*:*"
"Modified","CVE-2021-46010","CWE-330",,,,,"nvd@nist.gov",8.8,"HIGH","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H",,,,,"nvd@nist.gov",6.5,MEDIUM,"AV:N/AC:L/Au:S/C:P/I:P/A:P","cpe:2.3:o:totolink:a3100r_firmware:5.9c.4577:*:*:*:*:*:*:*" "cpe:2.3:h:totolink:a3100r:-:*:*:*:*:*:*:*"
